DETLOC,Name,OrigName,County,State
NGDCTGA,NORTH GEORGIA DETENTION CENTER,NORTH GEORGIA DETENTION CENTER,HALL,GA
NOBLEMN,NOBLES COUNTY JAIL,NOBLES COUNTY JAIL,NICOLLET,MN
NOJUVOR,NORTHERN OREGON JUVENILE DETENTION,NORTHERN OREGON JUVENILE DETENTION,WASCO,OR
NORCOOR,NORTHERN OREGON CORRECTIONAL FACILITY,NORTHERN OREGON CORRECTIONAL FACILITY,WASCO,OR
NORFOMA,NORFOLK COUNTY JAIL,NORFOLK COUNTY JAIL,NORFOLK,MA
NORFOVA,NORFOLK CITY JAIL,NORFOLK CITY JAIL,NORFOLK CITY,VA
NVJDCVA,NORTHERN VIRGINIA JUVENILE DETENTION CENTER,NORTHERN VIRGINIA JUVENILE DETENTION CENTER,COUNTY,VA
NVSDCNV,NEVADA SOUTHERN DETENTION CENTER,NEVADA SOUTHERN DETENTION CENTER,NYE,NV
NWHNVNC,NEW HANOVER COUNTY JAIL,NEW HANOVER COUNTY JAIL,NEW HANOVER,NC
OCIRCCA,ORANGE COUNTY INTAKE RELEASE FACILITY,ORANGE COUNTY INTAKE RELEASE FACILITY,ORANGE,CA
OKMULOK,OKMULGEE COUNTY JAIL,OKMULGEE COUNTY JAIL,OKMULGEE,OK
OLDHAKY,OLDHAM COUNTY JAIL,OLDHAM COUNTY JAIL,OLDHAM,KY
ONTARNY,ONTARIO COUNTY JAIL,ONTARIO COUNTY JAIL,ONTARIO,NY
ORANGFL,ORANGE COUNTY JAIL,ORANGE COUNTY JAIL,ORANGE,FL
ORANGNY,ORANGE COUNTY JAIL,ORANGE COUNTY JAIL,ORANGE,NY
OTROPNM,OTERO COUNTY PRISON FACILITY,OTERO COUNTY PRISON FACILITY,DONA ANA,NM
OTRPCNM,OTERO COUNTY PROCESSING CENTER,OTERO COUNTY PROCESSING CENTER,DONA ANA,NM
PCSHOLD,PECOS HOLD ROOM,PECOS HOLD ROOM,REEVES,TX
PENNISD,PENNINGTON COUNTY JAIL,PENNINGTON COUNTY JAIL (SOUTH DAKOTA),PENNINGTON,SD
PHELPNE,PHELPS COUNTY JAIL,PHELPS COUNTY JAIL,PHELPS,NE
PHIHOLD,PHILADELPHIA DISTRICT OFFICE HOLD ROOM,PHILADELPHIA DISTRICT OFFICE HOLD ROOM,PHILADELPHIA,PA
PHOHOLD,PHOENIX DISTRICT OFFICE,PHOENIX DISTRICT OFFICE,MARICOPA,AZ
PIC,PORT ISABEL,PORT ISABEL,CAMERON,TX
PIKCOPA,PIKE COUNTY CORRECTIONAL FACILITY,PIKE COUNTY CORRECTIONAL FACILITY,PIKE,PA
PIMAJAZ,PIMA COUNTY JAIL,PIMA COUNTY JAIL,PIMA,AZ
PINALAZ,PINAL COUNTY JAIL,PINAL COUNTY JAIL,PINAL,AZ
PINELFL,PINELLAS COUNTY JAIL,PINELLAS COUNTY JAIL,PINELLAS,FL
PINEPLA,PINE PRAIRIE CORRECTIONAL CENTER,PINE PRAIRIE CORRECTIONAL CENTER,EVANGELINE,LA
PLATTMO,PLATTE COUNTY DETENTION CENTER,PLATTE COUNTY DETENTION CENTER,PLATTE,MO
PLATTWY,PLATTE COUNTY JAIL,PLATTE COUNTY JAIL,PLATTE,WY
PLYMOMA,PLYMOUTH COUNTY CORRECTIONAL FACILITY,PLYMOUTH COUNTY CORRECTIONAL FACILITY,PLYMOUTH,MA
PMHOSFL,PALMETTO HOSPITAL,PALMETTO HOSPITAL,MIAMI-DADE,FL
POLKCTX,POLK COUNTY ADULT DETENTION FACILITY,POLK COUNTY ADULT DETENTION FACILITY,POLK,TX
POLKJIA,POLK COUNTY JAIL,POLK COUNTY JAIL,POLK,IA
POTTAIA,POTTAWATTAMIE COUNTY JAIL,POTTAWATTAMIE COUNTY JAIL,POTTAWATTAMIE,IA
PRLDCTX,PRAIRIELAND DETENTION FACILITY,PRAIRIELAND DETENTION FACILITY,JOHNSON,TX
PULASIL,PULASKI COUNTY JAIL,PULASKI COUNTY JAIL,PULASKI,IL
QLTYSCA,QUALITY SUITES,QUALITY SUITES,SAN DIEGO,CA
RAADCMN,RAMSEY COUNTY ADULT DETENTION CENTER,RAMSEY COUNTY ADULT DETENTION CENTER,RAMSEY,MN
RAPPSVA,RAPPAHANNOCK REGIONAL JAIL,RAPPAHANNOCK REGIONAL JAIL,FREDERICKSBURG CITY,VA
RGRNDTX,RIO GRANDE DETENTION CENTER,RIO GRANDE DETENTION CENTER,WEBB,TX
RGS,RIO GRANDE VALLEY STAGING,RIO GRANDE VALLEY STAGING,CAMERON,TX
RICECKS,RICE COUNTY DETENTION CENTER,RICE COUNTY DETENTION CENTER,RICE,KS
RIOCCCA,RIO COSUMNES CORR. CENTER,RIO COSUMNES CORR. CENTER,SACRAMENTO,CA
RNDLLTX,RANDALL COUNTY JAIL,RANDALL COUNTY JAIL,RANDALL,TX
ROCKIIL,ROCK ISLAND COUNTY CORRECTIONAL CENTER,ROCK ISLAND COUNTY CORRECTIONAL CENTER,ROCK ISLAND,IL
ROCKIVA,ROCKINGHAM COUNTY JAIL,ROCKINGHAM COUNTY JAIL,HARRISONBURG CITY,VA
RONKEVA,ROANOKE CITY JAIL,ROANOKE CITY JAIL,ROANOKE,VA
SAAHOLD,SANTA ANA DRO HOLDROOM,SANTA ANA DRO HOLDROOM,ORANGE,CA
SACITCA,SANTA ANA CITY JAIL,SANTA ANA CITY JAIL,ORANGE,CA
SACRACA,SACRAMENTO COUNTY JAIL,SACRAMENTO COUNTY JAIL,SACRAMENTO,CA
SALEMNJ,SALEM COUNTY CORRECTIONAL FACILITY,SALEM COUNTY CORRECTIONAL FACILITY,COUNTY,NJ
SAMBCMI,SAMARITAN BEHAVIORAL CENTER,SAMARITAN BEHAVIORAL CENTER,COUNTY,MI
