lat,lon,DETLOC
37.307301,-121.865129,SNJHOLD
40.97169,-82.109184,WALDOME
32.228678,-101.50651,BOPBIG
41.871515,-87.673763,CCHOSIL
39.986795,-104.799317,ADAMSCO
41.134613,-104.819372,LARCOWY
37.451871,-105.865546,ALMHOLD
38.916121,-77.025759,DCDOCDC
41.868633,-87.86559,BSAHOLD
64.83458,-147.760399,AKFAIRB
41.87305,-87.675943,CCHHSIL
40.303494,-79.544617,WMLNDPA
45.215913,-112.634727,BVRHDMT
38.556046,-85.167823,ANDROME
48.169,-111.94719,PONDEMT
36.449639,-103.188432,UNIONNM
28.679812,-99.827692,ZAVCOTX
29.361429,-100.902921,VALJUTX
39.729755,-105.203172,JEFFECO
38.545524,-106.925621,GUNNICO
31.720684,-99.957404,RUNLSTX
30.218572,-93.167467,STMDPLA
45.833833,-109.956895,SWEETMT
44.659934,-84.717197,CRAWFMI
47.029041,-122.913601,THURSWA
58.361173,-134.487811,AKLEMON
32.227595,-101.528072,BSFLTTX
33.726376,-118.267778,SPP
26.27513,-80.121876,NBRMCFL
38.940946,-80.83133,BOPGIL
45.457453,-123.842064,TILLCOR
34.153771,-85.678294,CHEROAL
41.619181,-94.017511,DALCOIA
32.421483,-104.226386,EDDCONM
35.469609,-97.525747,OKCOJOK
35.149195,-90.047575,SHELBTN
47.572023,-117.696734,MARTIWA
37.565417,-85.272159,NEW0600
34.667138,-83.098326,CTYORCI
40.799205,-81.941837,WAYNEOH
32.27677,-90.131691,JAKHOLD
27.336458,-82.530073,SARASFL
40.502158,-106.859933,ROUTTCO
31.432795,-109.871276,COCHIAZ
37.127848,-84.083997,LARELKY
40.457197,-109.524858,UINTCUT
35.050398,-78.879122,NEW608
40.006406,-78.50466,BEDFOPA
40.071112,-84.216792,WCJUVOH
46.903197,-98.706706,STUTSND
25.749617,-80.210173,USMSDFL
31.8457,-102.367749,ODESSTX
42.216718,-85.891064,VANBUMI
46.996507,-120.548738,KITTIWA
33.74024,-117.78669,RIVHOLD
43.605397,-84.774986,ISABEMI
34.149457,-118.144361,PASADCA
47.104954,-104.71494,DAWSOMT
43.514825,-112.033716,IFIHOLD
48.195646,-96.76914,MARSHMN
37.571785,-101.749409,STANTKS
35.535082,-97.95497,CANADOK
43.073915,-89.383108,DANCOWI
41.51009,-112.015737,BOXELUT
37.5119,-122.333287,SMJUVCA
46.975847,-123.81728,ABRDNWA
47.127379,-118.381803,ADAMSWA
38.053506,-97.935588,RENOJKS
38.320677,-121.970488,CASPSOL
30.832093,-92.638259,OAK
33.470585,-112.444153,AZSPPER
32.728513,-116.696348,BARRECA
44.052193,-123.089531,EUGHOLD
34.09259,-118.12645,ALHAMCA
42.091442,-76.801018,CHEMUNY
40.451973,-104.713029,WELDJCO
32.118838,-96.465071,BOPSEA
42.065232,-104.181715,GOSHEWY
35.913739,-94.972463,CHEROOK
39.068448,-108.573139,MESJACO
48.543224,-117.904246,STEVEWA
42.695066,-114.501989,JEROMID
41.865155,-87.833455,LOYMCIL
57.790881,-152.405998,KODIAAK
37.691519,-97.339335,WICHOLD
31.369854,-110.94035,SANTACR
41.311765,-91.723929,WASHCIA
34.165148,-98.001509,JEFFEOK
43.664755,-116.681461,CANYNID
38.054718,-97.936756,RENOYKS
37.951403,-121.291894,STK
45.464935,-98.486014,BROWNSD
40.924082,-98.34297,GRIHOLD
36.737166,-119.790379,FRECOCA
42.256308,-83.68079,WASHTMI
46.586526,-112.036886,LEWISMT
37.986902,-103.540205,OTEROCO
40.36982,-96.194149,JOHNSNE
48.107839,-98.852881,DEVILND
32.8787,-90.416579,BOPYAZ
40.688788,-89.693454,PCJDCIL
41.903084,-87.683317,STMRYIL
48.590191,-109.233752,BLACKIA
41.262527,-81.560801,HOTELMA
39.395662,-101.043313,THOMAKS
33.445984,-112.076641,MCMADAZ
29.845361,-97.960312,HAJUVTX
40.17237,-74.020082,BRINBMA
42.665149,-77.056282,YATESNY
42.254701,-83.700416,WSYOUMI
39.612515,-87.696208,CUMBEIL
40.455624,-81.405602,TUSCAOH
39.671723,-85.699261,MORRINJ
35.563893,-85.113478,MATSHOS
37.181345,-104.484519,LASANCO
26.921075,-99.272367,ZAPCOTX
42.153477,-83.256595,BRNPDMI
38.659973,-75.374504,SUSSEDE
41.283043,-95.900968,NEOMAHA
41.283043,-95.900968,OMAHOLD
36.202312,-115.119726,NOLVGNV
46.88402,-114.034646,MISSOMT
48.506931,-111.855891,TOOLEMT
40.463391,-88.099975,FORDJIL
42.226515,-83.262796,TAYPDMI
33.81022,-118.344877,DLAMOCA
27.879407,-81.822663,POLKJFL
43.087251,-95.626198,OBRIJIA
37.265084,-93.135798,SPGHOLD
36.762658,-76.586644,WTREGVA
40.565213,-105.033515,LARIMCO
43.050562,-83.331908,LAPEEMI
41.851265,-90.1888,CLINTIA
47.391324,-122.314976,BOPSET
41.220639,-112.018624,OGUHOLD
42.562891,-114.432579,TFIHOLD
33.942909,-84.817729,PAULDGA
41.81736,-87.912281,OXFORME
32.374639,-86.304792,MONTGAL
31.866621,-102.379819,ECTORTX
36.752997,-76.060062,VIRBEVA
39.299046,-102.270773,KITCACO
43.981104,-117.238678,MALHCOR
41.810952,-72.297531,CTNEACI
38.844254,-97.613616,SALINKS
35.636955,-106.019486,SANTANM
42.543098,-114.433664,SRJDFID
29.35834,-99.166028,MEJUVTX
34.023429,-84.616127,KENNEGA
34.541778,-112.466549,YAVAPAZ
48.186918,-117.041042,ORLEAVT
35.522343,-108.707417,MCKINNM
35.984145,-83.280788,VTDCOR2
36.978971,-122.023575,SCRUZCA
40.714936,-74.003227,NYCHOLD
35.557616,-105.227867,SANMINM
43.245578,-78.192315,ORLEANY
40.501847,-89.666949,BOPPEK
31.26313,-81.965398,BOPJES
61.187975,-149.833344,AKMCYOU
28.846068,-82.477517,CITRUFL
31.601418,-91.557508,CONCOLA
39.628365,-107.540621,QLTYGCO
26.917575,-82.007075,CHRLTFL
40.157189,-103.192891,WASHICO
41.77004,-87.690722,HLYCHIL
45.075713,-123.388692,BOPSHE
32.676805,-114.650223,YUJUVAZ
39.269042,-121.664668,CACFLEO
29.961475,-90.093336,OPJUVLA
29.961475,-90.093336,ORPARLA
